,genre,count,Count_Rating
0,Drama,38664,7.2163429666572805
1,Comedy,21740,6.638882319078912
2,Documentary,20149,7.311232090410473
3,Romance,9306,6.719826952733072
4,Thriller,9165,6.804428668714303
5,Action,8797,6.939006939491218
6,Horror,8021,6.149058515730106
7,Crime,6571,7.0233129220098895
8,Adventure,4279,7.042257426549621
9,Mystery,3601,6.949123278830174
10,Family,3241,6.836239665669127
11,Biography,3097,7.531265801824227
12,Fantasy,2854,6.713113233790181
13,Music,2424,7.023775340647175
14,History,2333,7.238828565623217
15,Sci-Fi,2284,6.972863577831335
16,Animation,2053,7.289329522615347
17,Sport,1331,7.00549193174997
18,War,1137,7.425021958742087
19,Musical,1038,7.014145006135643
20,Western,321,7.574264395703215
21,News,222,7.5131818117100995
22,Adult,90,4.903701806071474
23,Reality-TV,26,5.427134502923977
24,Talk-Show,7,7.038666666666668
25,Short,6,6.952615384615385
