tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,Titles,pos,neg,neu,compound
tt0000012,short,The Arrival of a Train,L'arrivée d'un train à La Ciotat,0,1896,\N,1,"Documentary,Short",7.4,12248,arrival train,0.0,0.0,1.0,0.0
tt0000417,short,A Trip to the Moon,Le voyage dans la lune,0,1902,\N,13,"Action,Adventure,Comedy",8.2,52284,trip moon,0.0,0.0,1.0,0.0
tt0000439,short,The Great Train Robbery,The Great Train Robbery,0,1903,\N,11,"Action,Adventure,Crime",7.3,20011,great train robbery,0.672,0.0,0.328,0.6249
tt0004972,movie,The Birth of a Nation,The Birth of a Nation,0,1915,\N,195,"Drama,War",6.2,25467,birth nation,0.0,0.0,1.0,0.0
tt0008133,short,The Immigrant,The Immigrant,0,1917,\N,30,"Comedy,Drama,Romance",7.6,8786,immigrant,0.0,0.0,1.0,0.0
tt0009018,short,A Dog's Life,A Dog's Life,0,1918,\N,33,"Comedy,Drama,Short",7.7,9120,dog life,0.0,0.0,1.0,0.0
tt0010323,movie,The Cabinet of Dr. Caligari,Das Cabinet des Dr. Caligari,0,1920,\N,76,"Horror,Mystery,Thriller",8.0,66427,cabinet dr. caligari,0.0,0.0,1.0,0.0
tt0011237,movie,The Golem,"Der Golem, wie er in die Welt kam",0,1920,\N,76,"Fantasy,Horror",7.2,8091,golem,0.0,0.0,1.0,0.0
tt0011541,short,One Week,One Week,0,1920,\N,25,"Comedy,Short",8.1,8608,one week,0.0,0.0,1.0,0.0
tt0012349,movie,The Kid,The Kid,0,1921,\N,68,"Comedy,Drama,Family",8.3,129037,kid,0.0,0.0,1.0,0.0
tt0012364,movie,The Phantom Carriage,Körkarlen,0,1921,\N,107,"Drama,Fantasy,Horror",8.0,13264,phantom carriage,0.0,0.0,1.0,0.0
tt0013086,movie,"Dr. Mabuse, the Gambler","Dr. Mabuse, der Spieler",0,1922,\N,242,"Crime,Mystery,Thriller",7.8,8800,dr. mabuse gambler,0.0,0.0,1.0,0.0
tt0013427,movie,Nanook of the North,Nanook of the North,0,1922,\N,78,Documentary,7.6,12879,nanook north,0.0,0.0,1.0,0.0
tt0013442,movie,Nosferatu,"Nosferatu, eine Symphonie des Grauens",0,1922,\N,94,"Fantasy,Horror",7.9,100557,nosferatu,0.0,0.0,1.0,0.0
tt0014341,movie,Our Hospitality,Our Hospitality,0,1923,\N,65,"Comedy,Romance,Thriller",7.8,11831,hospitality,0.0,0.0,1.0,0.0
tt0014429,movie,Safety Last!,Safety Last!,0,1923,\N,74,"Action,Comedy,Thriller",8.1,21607,safety last,0.737,0.0,0.263,0.4215
tt0015064,movie,The Last Laugh,Der letzte Mann,0,1924,\N,77,Drama,8.0,14565,last laugh,0.783,0.0,0.217,0.5574
tt0015163,movie,The Navigator,The Navigator,0,1924,\N,59,"Action,Comedy,Romance",7.6,10427,navigator,0.0,0.0,1.0,0.0
tt0015324,movie,Sherlock Jr.,Sherlock Jr.,0,1924,\N,45,"Action,Comedy,Romance",8.2,52173,sherlock jr,0.0,0.0,1.0,0.0
tt0015361,movie,Strike,Stachka,0,1925,\N,82,Drama,7.6,8294,strike,0.0,1.0,0.0,-0.128
tt0015648,movie,Battleship Potemkin,Bronenosets Potemkin,0,1925,\N,75,"Drama,History,Thriller",7.9,59383,battleship potemkin,0.0,0.524,0.476,-0.0258
tt0015864,movie,The Gold Rush,The Gold Rush,0,1925,\N,95,"Adventure,Comedy,Drama",8.1,113655,gold rush,0.0,0.0,1.0,0.0
tt0015881,movie,Greed,Greed,0,1924,\N,140,"Drama,Thriller,Western",8.1,10356,greed,0.0,1.0,0.0,-0.4019
tt0016220,movie,The Phantom of the Opera,The Phantom of the Opera,0,1925,\N,93,Horror,7.5,19143,phantom opera,0.0,0.0,1.0,0.0
tt0016332,movie,Seven Chances,Seven Chances,0,1925,\N,56,"Comedy,Romance",7.8,10946,seven chance,0.667,0.0,0.333,0.25
tt0016847,movie,Faust,Faust: Eine deutsche Volkssage,0,1926,\N,107,"Drama,Fantasy,Horror",8.1,15861,faust,0.0,0.0,1.0,0.0
tt0017075,movie,The Lodger: A Story of the London Fog,The Lodger: A Story of the London Fog,0,1927,\N,92,"Crime,Drama,Mystery",7.3,12588,lodger story london fog,0.0,0.0,1.0,0.0
tt0017136,movie,Metropolis,Metropolis,0,1927,\N,153,"Drama,Sci-Fi",8.3,177895,metropolis,0.0,0.0,1.0,0.0
tt0017925,movie,The General,The General,0,1926,\N,67,"Action,Adventure,Comedy",8.1,93658,general,0.0,0.0,1.0,0.0
tt0018037,movie,The Jazz Singer,The Jazz Singer,0,1927,\N,88,"Drama,Music,Musical",6.4,10552,jazz singer,0.0,0.0,1.0,0.0
