primaryName,weighted_average,primaryTitle,startYear,runtimeMinutes
Paul Kennedy,9.3,The Shawshank Redemption,1994,142
Paul Kennedy,9.3,Red Betsy,2003,98
Charlie Kearns,9.3,The Shawshank Redemption,1994,142
Paul Kennedy,9.3,Where the Sea Used to Be,2012,80
Cornell Wallace,9.3,The Shawshank Redemption,1994,142
Paul Kennedy,9.3,Red Betsy,2003,98
Scott Mann,9.3,The Shawshank Redemption,1994,142
Paul Kennedy,9.3,Airborne,1993,91
Chuck Brauchler,9.3,The Shawshank Redemption,1994,142
Rob Reider,9.3,The Shawshank Redemption,1994,142
