primaryName,weighted_average,primaryTitle,startYear,runtimeMinutes
Tugay Mercan,1.1,15/07: Break of Dawn,2021,95
Aslihan Karalar,1.1,15/07: Break of Dawn,2021,95
Aslihan Karalar,1.1,Adanis: Kutsal Kavga,2022,112
Deniz Bolisik,1.1,The Other Path,2023,105
Nazan Diper,1.1,15/07: Break of Dawn,2021,95
Emre Keskin,1.0405280071594192,World Order: Three Days and Three Nights,2021,137
Emre Keskin,1.0405280071594192,Baba Parasi,2020,116
Zyad Bin Hijab,1.0,321 Action,2020,100
Jodi,1.0,321 Action,2020,100
Fay Fouad,1.0,321 Action,2020,100
Dyler,1.0,321 Action,2020,100
Rakan Abdulwahed,1.0,321 Action,2020,100
Rakan Abdulwahed,1.0,Born a King,2019,103
Reha Beyoglu,1.0,Atatürk'ün Fedaisi Topal Osman,2013,90
Rakan Bo Khaled,1.0,321 Action,2020,100
Reha Beyoglu,1.0,Reis,2017,108
Majed Fawaz,1.0,321 Action,2020,100
Hana Zuhair,1.0,321 Action,2020,100
Khaled Yeslam,1.0,321 Action,2020,100
Ceyda Saltadal,1.0,Alkarisi: Cinnet,2015,72
