tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,Titles,pos,neg,neu,compound
tt0258760,movie,Lammbock,Lammbock,0,2001,\N,93,"Comedy,Crime",7.3,11622,lammbock,0.0,0.0,1.0,0.0
tt7984766,movie,The King,The King,0,2019,\N,140,"Biography,Drama,History",7.3,137872,king,0.0,0.0,1.0,0.0
tt2427220,tvSeries,Crossing Lines,Crossing Lines,0,2013,2015,43,"Action,Crime,Drama",7.3,13403,crossing line,0.0,0.0,1.0,0.0
tt1321510,movie,In the Heights,In the Heights,0,2021,\N,143,"Drama,Musical,Romance",7.3,49283,height,0.0,0.0,1.0,0.0
tt0084237,movie,The Last Unicorn,The Last Unicorn,0,1982,\N,92,"Adventure,Animation,Drama",7.3,27971,last unicorn,0.0,0.0,1.0,0.0
tt0049513,movie,Moby Dick,Moby Dick,0,1956,\N,116,"Adventure,Drama",7.3,20787,moby dick,0.0,0.767,0.233,-0.5106
tt5207754,tvEpisode,Hostiles and Calamities,Hostiles and Calamities,0,2017,\N,49,"Drama,Horror,Thriller",7.3,9785,hostile calamity,0.0,0.722,0.278,-0.3818
tt13304410,tvSeries,Sunflower,Sunflower,0,2021,\N,36,"Comedy,Crime",7.3,10302,sunflower,0.0,0.0,1.0,0.0
tt2140479,movie,The Accountant,The Accountant,0,2016,\N,128,"Action,Thriller",7.3,303965,accountant,0.0,0.0,1.0,0.0
tt0038975,movie,The Spiral Staircase,The Spiral Staircase,0,1946,\N,83,"Drama,Mystery,Thriller",7.3,10657,spiral staircase,0.0,0.0,1.0,0.0
tt9077540,tvSeries,Sweet Magnolias,Sweet Magnolias,0,2020,\N,\N,"Drama,Romance",7.3,20071,sweet magnolia,0.75,0.0,0.25,0.4588
tt4355704,video,Capturing Captain Phillips,Capturing Captain Phillips,0,2014,\N,58,Documentary,7.3,14029,capturing captain phillips,0.0,0.0,1.0,0.0
tt0097240,movie,Drugstore Cowboy,Drugstore Cowboy,0,1989,\N,101,"Crime,Drama",7.3,38506,drugstore cowboy,0.0,0.0,1.0,0.0
tt0089907,movie,The Return of the Living Dead,The Return of the Living Dead,0,1985,\N,91,"Comedy,Horror,Sci-Fi",7.3,64253,return living dead,0.0,0.683,0.317,-0.6486
tt0119654,movie,Men in Black,Men in Black,0,1997,\N,98,"Action,Adventure,Comedy",7.3,582906,men black,0.0,0.0,1.0,0.0
tt1001526,movie,Megamind,Megamind,0,2010,\N,95,"Action,Animation,Comedy",7.3,274933,megamind,0.0,0.0,1.0,0.0
tt0383574,movie,Pirates of the Caribbean: Dead Man's Chest,Pirates of the Caribbean: Dead Man's Chest,0,2006,\N,151,"Action,Adventure,Fantasy",7.3,735012,pirate caribbean dead man chest,0.0,0.518,0.482,-0.6486
tt0116913,movie,Looking for Richard,Looking for Richard,0,1996,\N,112,"Documentary,Drama",7.3,8446,looking richard,0.0,0.0,1.0,0.0
tt13669028,tvEpisode,Chapter 1: Stranger in a Strange Land,Chapter 1: Stranger in a Strange Land,0,2021,\N,38,"Action,Adventure,Sci-Fi",7.3,19872,chapter stranger strange land,0.0,0.375,0.625,-0.2023
tt0080009,movie,Tess,Tess,0,1979,\N,186,"Drama,Romance",7.3,17436,te,0.0,0.0,1.0,0.0
tt0117318,movie,The People vs. Larry Flynt,The People vs. Larry Flynt,0,1996,\N,130,"Biography,Drama",7.3,97645,people vs. larry flynt,0.0,0.0,1.0,0.0
tt0210418,tvSeries,Digimon: Digital Monsters,Digimon: Digital Monsters,0,1999,2007,24,"Action,Adventure,Animation",7.3,22656,digimon digital monster,0.0,0.0,1.0,0.0
tt0419294,movie,The Three Burials of Melquiades Estrada,The Three Burials of Melquiades Estrada,0,2005,\N,121,"Adventure,Crime,Drama",7.3,41206,three burial melquiades estrada,0.0,0.0,1.0,0.0
tt3331846,movie,Stand by Me Doraemon,Stand by Me Doraemon,0,2014,\N,95,"Animation,Comedy,Drama",7.3,8622,stand doraemon,0.0,0.0,1.0,0.0
tt0094027,movie,Stand and Deliver,Stand and Deliver,0,1988,\N,103,"Biography,Drama",7.3,21142,stand deliver,0.0,0.0,1.0,0.0
tt0959337,movie,Revolutionary Road,Revolutionary Road,0,2008,\N,119,"Drama,Romance",7.3,218239,revolutionary road,0.0,0.0,1.0,0.0
tt1289403,movie,The Guernsey Literary and Potato Peel Pie Society,The Guernsey Literary and Potato Peel Pie Society,0,2018,\N,124,"Drama,Romance,War",7.3,49071,guernsey literary potato peel pie society,0.0,0.0,1.0,0.0
tt0047878,movie,The Big Combo,The Big Combo,0,1955,\N,87,"Crime,Drama,Film-Noir",7.3,8006,big combo,0.0,0.0,1.0,0.0
tt1345777,movie,Ishqiya,Ishqiya,0,2010,\N,118,"Comedy,Drama,Romance",7.3,10680,ishqiya,0.0,0.0,1.0,0.0
tt0086960,movie,Beverly Hills Cop,Beverly Hills Cop,0,1984,\N,105,"Action,Comedy,Crime",7.3,191246,beverly hill cop,0.0,0.0,1.0,0.0
tt0052993,movie,Last Train from Gun Hill,Last Train from Gun Hill,0,1959,\N,95,Western,7.3,8302,last train gun hill,0.0,0.444,0.556,-0.34
tt7949606,tvMiniSeries,The Last Czars,The Last Czars,0,2019,2019,45,"Documentary,Drama,History",7.3,8970,last czar,0.0,0.0,1.0,0.0
tt8739752,movie,The Collini Case,Der Fall Collini,0,2019,\N,123,"Crime,Drama,Thriller",7.3,11156,collini case,0.0,0.0,1.0,0.0
tt3906732,tvSeries,Good Witch,Good Witch,0,2015,2021,48,"Comedy,Drama,Fantasy",7.3,11456,good witch,0.537,0.463,0.0,0.1027
tt0068638,movie,The Getaway,The Getaway,0,1972,\N,123,"Action,Crime,Thriller",7.3,33819,getaway,0.0,0.0,1.0,0.0
tt18550140,movie,Holy Spider,Holy Spider,0,2022,\N,118,"Crime,Drama,Thriller",7.3,17262,holy spider,0.0,0.0,1.0,0.0
tt0396184,movie,Pusher II,Pusher II,0,2004,\N,100,"Action,Crime,Drama",7.3,23393,pusher ii,0.0,0.0,1.0,0.0
tt0076578,movie,Pumping Iron,Pumping Iron,0,1977,\N,86,"Documentary,Sport",7.3,23723,pumping iron,0.0,0.0,1.0,0.0
tt0795368,movie,Death at a Funeral,Death at a Funeral,0,2007,\N,90,Comedy,7.3,118143,death funeral,0.0,1.0,0.0,-0.7506
tt0043274,movie,Alice in Wonderland,Alice in Wonderland,0,1951,\N,75,"Adventure,Animation,Comedy",7.3,146798,alice wonderland,0.0,0.0,1.0,0.0
tt6412452,movie,The Ballad of Buster Scruggs,The Ballad of Buster Scruggs,0,2018,\N,133,"Comedy,Drama,Musical",7.3,155189,ballad buster scruggs,0.0,0.0,1.0,0.0
tt0110008,movie,Pom Poko,Heisei tanuki gassen ponpoko,0,1994,\N,119,"Animation,Comedy,Drama",7.3,31739,pom poko,0.0,0.0,1.0,0.0
tt1743904,tvSeries,Jane by Design,Jane by Design,0,2012,2012,44,"Comedy,Drama",7.3,10524,jane design,0.0,0.0,1.0,0.0
tt0120660,movie,Enemy of the State,Enemy of the State,0,1998,\N,132,"Action,Thriller",7.3,250315,enemy state,0.0,0.778,0.222,-0.5423
tt0995740,movie,No Smoking,No Smoking,0,2007,\N,128,"Drama,Horror,Mystery",7.3,8203,smoking,0.0,0.0,1.0,0.0
tt1071812,movie,Mao's Last Dancer,Mao's Last Dancer,0,2009,\N,117,"Biography,Drama,Music",7.3,8085,mao last dancer,0.0,0.0,1.0,0.0
tt0090180,movie,To Live and Die in L.A.,To Live and Die in L.A.,0,1985,\N,116,"Action,Crime,Drama",7.3,35562,live die l.a,0.0,0.661,0.339,-0.5994
tt9177882,movie,Constantine: City of Demons - The Movie,Constantine: City of Demons,0,2018,\N,90,"Action,Animation,Fantasy",7.3,8300,constantine city demon movie,0.0,0.0,1.0,0.0
tt3300980,movie,The 12th Man,Den 12. mann,0,2017,\N,135,"Drama,History,Thriller",7.3,27578,th man,0.0,0.0,1.0,0.0
tt7423538,tvSeries,Ratched,Ratched,0,2020,\N,60,"Crime,Drama,History",7.3,63103,ratched,0.0,0.0,1.0,0.0
tt0375173,movie,Alfie,Alfie,0,2004,\N,103,"Comedy,Drama,Romance",6.2,53886,alfie,0.0,0.0,1.0,0.0
tt7734218,movie,Stuber,Stuber,0,2019,\N,93,"Action,Comedy,Crime",6.2,49359,stuber,0.0,0.0,1.0,0.0
tt2209764,movie,Transcendence,Transcendence,0,2014,\N,119,"Action,Drama,Sci-Fi",6.2,233048,transcendence,0.0,0.0,1.0,0.0
tt12519030,movie,Hatching,Pahanhautoja,0,2022,\N,91,"Drama,Fantasy,Horror",6.2,12247,hatching,0.0,0.0,1.0,0.0
tt0107076,movie,Hard Target,Hard Target,0,1993,\N,97,"Action,Crime,Thriller",6.2,53524,hard target,0.0,0.583,0.417,-0.1027
tt0086320,movie,Sleepaway Camp,Sleepaway Camp,0,1983,\N,84,Horror,6.2,34855,sleepaway camp,0.0,0.0,1.0,0.0
tt4587656,movie,The Star,The Star,0,2017,\N,86,"Adventure,Animation,Comedy",6.2,8701,star,0.0,0.0,1.0,0.0
tt1253863,movie,300: Rise of an Empire,300: Rise of an Empire,0,2014,\N,102,"Action,Drama",6.2,307339,rise empire,0.0,0.0,1.0,0.0
tt1976000,movie,The Two Faces of January,The Two Faces of January,0,2014,\N,96,"Romance,Thriller",6.2,32663,two face january,0.0,0.0,1.0,0.0
tt0075925,movie,The Deep,The Deep,0,1977,\N,123,"Adventure,Mystery,Thriller",6.2,13099,deep,0.0,0.0,1.0,0.0
tt8128188,movie,High Flying Bird,High Flying Bird,0,2019,\N,90,"Drama,Sport",6.2,8978,high flying bird,0.0,0.0,1.0,0.0
tt3567288,movie,The Visit,The Visit,0,2015,\N,94,"Horror,Mystery,Thriller",6.2,141140,visit,0.0,0.0,1.0,0.0
tt0116213,movie,Eraser,Eraser,0,1996,\N,115,"Action,Crime,Thriller",6.2,114679,eraser,0.0,0.0,1.0,0.0
tt0109305,movie,Blue Chips,Blue Chips,0,1994,\N,108,"Drama,Sport",6.2,14413,blue chip,0.0,0.0,1.0,0.0
tt0264508,movie,Dagon,Dagon,0,2001,\N,98,"Fantasy,Horror,Mystery",6.2,19752,dagon,0.0,0.0,1.0,0.0
tt1032819,movie,Powder Blue,Powder Blue,0,2009,\N,106,Drama,6.2,15038,powder blue,0.0,0.0,1.0,0.0
tt0465494,movie,Hitman,Hitman,0,2007,\N,100,"Action,Crime,Thriller",6.2,173620,hitman,0.0,0.0,1.0,0.0
